epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0917,1.19142,3.5444,1.0161,0.04795,0.84203,0.06381,0.04024,1.02349,3.50044,0.91683,0.00013336,0.00013336,0.00013336
2,65.1755,1.07374,1.99643,0.91321,0.03948,0.69794,0.21791,0.11829,0.99991,3.13205,0.91293,0.000277779,0.000277779,0.000277779
3,109.748,0.98788,1.20593,0.90366,0.90346,0.3944,0.49249,0.37575,0.88049,2.82239,0.88974,0.000416257,0.000416257,0.000416257
4,154.132,0.89919,0.99236,0.89244,1,0.1863,0.59573,0.45752,0.88515,2.76748,0.90279,0.000548793,0.000548793,0.000548793
5,175.965,0.88061,0.8923,0.89437,0.97743,0.15138,0.40415,0.31986,0.81427,2.90925,0.89894,0.000675388,0.000675388,0.000675388
6,196.521,0.84361,0.86022,0.88757,0.94303,0.38532,0.74781,0.61903,0.77983,2.3437,0.87326,0.000796043,0.000796043,0.000796043
7,218.672,0.82171,0.76504,0.88531,0.93818,0.40826,0.75068,0.59468,0.82928,2.31882,0.8806,0.000910755,0.000910755,0.000910755
8,241.851,0.80512,0.74392,0.88148,0.95311,0.56366,0.88741,0.6791,0.85249,1.97865,0.88043,0.00101953,0.00101953,0.00101953
9,261.769,0.87164,0.74816,0.88512,0.93961,0.62575,0.89624,0.70005,0.83454,1.80108,0.87046,0.00112236,0.00112236,0.00112236
10,283.618,0.8477,0.7345,0.87581,0.93468,0.54789,0.90178,0.69599,0.84897,1.82941,0.88153,0.00121925,0.00121925,0.00121925
11,302.701,0.81278,0.70877,0.8774,0.9258,0.75961,0.91773,0.73226,0.78899,1.50364,0.87774,0.0013102,0.0013102,0.0013102
12,321.364,0.78175,0.67525,0.86311,0.87,0.83833,0.91564,0.7204,0.79226,1.21399,0.87843,0.00130393,0.00130393,0.00130393
13,340.474,0.78322,0.66367,0.86965,0.93298,0.8786,0.94791,0.75999,0.77116,0.94437,0.88031,0.00127092,0.00127092,0.00127092
14,359.456,0.75613,0.65065,0.87431,0.95572,0.91841,0.95251,0.75997,0.75581,0.80287,0.88728,0.00123791,0.00123791,0.00123791
15,378.46,0.74864,0.63899,0.85972,0.91892,0.8705,0.94372,0.74994,0.77841,0.92716,0.90329,0.00120491,0.00120491,0.00120491
16,397.38,0.75251,0.64043,0.86256,0.93962,0.90447,0.94269,0.76597,0.7203,0.79837,0.88435,0.0011719,0.0011719,0.0011719
17,416.335,0.75484,0.61965,0.85689,0.96767,0.89966,0.95585,0.75695,0.74541,0.73507,0.89404,0.00113889,0.00113889,0.00113889
18,435.276,0.73411,0.62575,0.85433,0.97,0.9084,0.96012,0.78139,0.67041,0.65862,0.87482,0.00110589,0.00110589,0.00110589
19,454.263,0.69216,0.59117,0.85004,0.96102,0.8949,0.95608,0.76542,0.72208,0.7019,0.88277,0.00107288,0.00107288,0.00107288
20,473.607,0.71802,0.58195,0.85216,0.97078,0.90361,0.96579,0.78872,0.69175,0.60712,0.87038,0.00103987,0.00103987,0.00103987
21,492.764,0.70482,0.57272,0.852,0.96671,0.90699,0.96705,0.77293,0.70932,0.6123,0.86978,0.00100687,0.00100687,0.00100687
22,511.849,0.69108,0.55936,0.84845,0.96646,0.92743,0.97122,0.78438,0.68517,0.59026,0.8653,0.000973861,0.000973861,0.000973861
23,530.959,0.67106,0.54665,0.85311,0.9668,0.92972,0.97105,0.79835,0.6721,0.59382,0.86465,0.000940855,0.000940855,0.000940855
24,550.529,0.66522,0.54986,0.844,0.9762,0.93281,0.96741,0.79209,0.68985,0.59003,0.86628,0.000907848,0.000907848,0.000907848
25,569.701,0.69986,0.54402,0.84737,0.96099,0.92561,0.96383,0.7953,0.65761,0.59796,0.86232,0.000874842,0.000874842,0.000874842
